timestamp,solar_irradiance_wm2,load_site1_kw,load_site2_kw,load_site3_kw,load_kw,ev_charger_kw,total_load_kw,forecasted_load_site1_kw,forecasted_load_site2_kw,forecasted_load_site3_kw,forecasted_ev_charger_kw,solar_power_kw,forecasted_solar_power_kw,forecasted_total_load_kw,battery1_kw,battery2_kw,grid_kw
1/4/2025 0:00,0,0.273771543,0.587608845,0.647218096,1.508598484,0,1.508598484,0.343368749,0.445856602,0.68727154,0,0,0,1.493872206,0.754299242,0.754299242,0
1/4/2025 0:01,0,0.288877917,0.551388245,0.69719342,1.537459581,0,1.537459581,0.278825741,0.59750455,0.649435515,0,0,0,1.508497025,0.768729791,0.768729791,0
1/4/2025 0:02,0,0.314291744,0.479300812,0.676755456,1.470348012,0,1.470348012,0.375852125,0.472093004,0.460069351,0,0,0,1.360028521,0.735174006,0.735174006,0
1/4/2025 0:03,0,0.271268455,0.551163239,0.690837006,1.5132687,0,1.5132687,0.204673465,0.570055286,0.534863106,0,0,0,1.51905288,0.75663435,0.75663435,0
1/4/2025 0:04,0,0.375598975,0.531280607,0.731151781,1.638031363,0,1.638031363,0.417382257,0.521288524,0.68023215,0,0,0,1.67325743,0.819015682,0.819015682,0
1/4/2025 0:05,0,0.20755374,0.486176203,0.695382988,1.38911293,0,1.38911293,0.172326353,0.418110928,0.699823556,0,0,0,1.185374441,0.694556465,0.694556465,0
1/4/2025 0:06,0,0.341684222,0.514896737,0.761526492,1.618107452,0,1.618107452,0.335482575,0.490212575,0.957643738,0,0,0,1.551327747,0.809053726,0.809053726,0
1/4/2025 0:07,0,0.299537032,0.550919806,0.800948057,1.651404896,0,1.651404896,0.2712652,0.576031934,0.589075544,0,0,0,1.623744988,0.825702448,0.825702448,0
1/4/2025 0:08,0,0.323468369,0.4368374,0.708258573,1.468564343,0,1.468564343,0.320322732,0.411074955,0.834244191,0,0,0,1.492507235,0.734282171,0.734282171,0
1/4/2025 0:09,0,0.382698654,0.402652363,0.687340969,1.472691986,0,1.472691986,0.441215933,0.308940752,0.674480455,0,0,0,1.42943437,0.736345993,0.736345993,0
1/4/2025 0:10,0,0.308662075,0.506380822,0.736703583,1.551746479,0,1.551746479,0.307416082,0.421687544,0.809192374,0,0,0,1.573204286,0.77587324,0.77587324,0
1/4/2025 0:11,0,0.323196455,0.512385033,0.61060473,1.446186217,0,1.446186217,0.3430943,0.63945928,0.636756484,0,0,0,1.376208064,0.723093109,0.723093109,0
1/4/2025 0:12,0,0.337545995,0.51764133,0.778527371,1.633714696,0,1.633714696,0.343209686,0.451287724,0.860425105,0,0,0,1.53381377,0.816857348,0.816857348,0
1/4/2025 0:13,0,0.223441055,0.500670474,0.631056621,1.35516815,0,1.35516815,0.16188242,0.608145579,0.571021666,0,0,0,1.321037958,0.677584075,0.677584075,0
1/4/2025 0:14,0,0.303828573,0.452251599,0.71803718,1.474117352,0,1.474117352,0.354630729,0.484004731,0.819793763,0,0,0,1.346734018,0.737058676,0.737058676,0
1/4/2025 0:15,0,0.369334601,0.498524961,0.742394187,1.61025375,0,1.61025375,0.390530748,0.568230682,0.561841302,0,0,0,1.645706035,0.805126875,0.805126875,0
1/4/2025 0:16,0,0.256462603,0.459446107,0.651493466,1.367402176,0,1.367402176,0.262700006,0.540356448,0.751599657,0,0,0,1.409067408,0.683701088,0.683701088,0
1/4/2025 0:17,0,0.2995553,0.486156875,0.675791566,1.461503741,0,1.461503741,0.277755914,0.416903711,0.611077572,0,0,0,1.533068867,0.730751871,0.730751871,0
1/4/2025 0:18,0,0.370724901,0.538585986,0.707167733,1.61647862,0,1.61647862,0.349706234,0.618142619,0.770016912,0,0,0,1.819445017,0.80823931,0.80823931,0
1/4/2025 0:19,0,0.207307598,0.521944583,0.765358957,1.494611138,0,1.494611138,0.228228215,0.383837107,0.729083089,0,0,0,1.601110993,0.747305569,0.747305569,0
1/4/2025 0:20,0,0.388523877,0.513175212,0.693496702,1.595195791,0,1.595195791,0.527740622,0.471823273,0.703506206,0,0,0,1.639013287,0.797597896,0.797597896,0
